,Group.1,Group.2,Group.3,x
1,1,1990,DANT,29.19
2,2,1990,DANT,27.37
3,3,1990,DANT,24.99
4,4,1990,DANT,28.79
5,5,1990,DANT,33.28
6,6,1990,DANT,32.69
7,7,1990,DANT,31.9
8,8,1990,DANT,33.76
9,9,1990,DANT,32.53
10,10,1990,DANT,32.53
11,11,1990,DANT,31.38
12,12,1990,DANT,31.5
13,1,1991,DANT,20.83
14,2,1991,DANT,28.06
15,3,1991,DANT,30.55
16,4,1991,DANT,29.69
17,5,1991,DANT,32.83
18,6,1991,DANT,32.82
19,7,1991,DANT,30.41
20,8,1991,DANT,31.86
21,9,1991,DANT,33.28
22,10,1991,DANT,31.4
23,11,1991,DANT,30.39
24,12,1991,DANT,25.31
25,1,1992,DANT,30.69
26,2,1992,DANT,27.67
27,3,1992,DANT,27.15
28,4,1992,DANT,27.65
29,5,1992,DANT,27.625
30,6,1992,DANT,32.900000000000006
31,7,1992,DANT,31.515
32,8,1992,DANT,27.800000000000004
33,9,1992,DANT,29.345
34,10,1992,DANT,32.22
35,11,1992,DANT,27.16
36,12,1992,DANT,25.21
37,1,1993,DANT,24.62
38,2,1993,DANT,27.04
39,3,1993,DANT,31.25
40,4,1993,DANT,27.04
41,5,1993,DANT,32.35
42,6,1993,DANT,32.35666666666667
43,7,1993,DANT,30.735
44,8,1993,DANT,28.98
45,9,1993,DANT,21.005000000000003
46,10,1993,DANT,21.91
47,11,1993,DANT,26.46
48,12,1993,DANT,24.41
49,1,1994,DANT,16.78
50,3,1994,DANT,24.335
51,4,1994,DANT,24.145
52,5,1994,DANT,30.064999999999998
53,6,1994,DANT,26.775
54,7,1994,DANT,30.935000000000002
55,8,1994,DANT,32.370000000000005
56,9,1994,DANT,24.61
57,10,1994,DANT,27.49
58,11,1994,DANT,19.05
59,12,1994,DANT,18.56
60,1,1995,DANT,29.54
61,2,1995,DANT,18.72
62,3,1995,DANT,26.7
63,4,1995,DANT,29.14
64,5,1995,DANT,32.3
65,6,1995,DANT,26.82
66,7,1995,DANT,31.41
67,8,1995,DANT,32.47
68,9,1995,DANT,32.37
69,10,1995,DANT,27.69
70,11,1995,DANT,29.87
71,12,1995,DANT,30.21
72,1,1996,DANT,30.86
73,2,1996,DANT,NaN
74,3,1996,DANT,31.44
75,4,1996,DANT,31.46
76,5,1996,DANT,31.853333333333335
77,6,1996,DANT,32.44
78,7,1996,DANT,30.865000000000002
79,8,1996,DANT,28.96
80,9,1996,DANT,32.51
81,10,1996,DANT,28.15
82,11,1996,DANT,31.02
83,12,1996,DANT,22.47
84,1,1997,DANT,31.02
85,2,1997,DANT,26.77
86,3,1997,DANT,27.94
87,4,1997,DANT,30.466666666666665
88,5,1997,DANT,30.25
89,6,1997,DANT,30.95
90,7,1997,DANT,31.200000000000003
91,8,1997,DANT,32.25
92,9,1997,DANT,30.545
93,10,1997,DANT,32.73
94,11,1997,DANT,30.81
95,12,1997,DANT,30.04
96,1,1998,DANT,24.95
97,2,1998,DANT,31.32
98,3,1998,DANT,27.455
99,4,1998,DANT,29.735
100,5,1998,DANT,30.595
101,6,1998,DANT,29.633333333333333
102,7,1998,DANT,26.634999999999998
103,8,1998,DANT,31.07
104,9,1998,DANT,30.543333333333333
105,10,1998,DANT,26.505000000000003
106,11,1998,DANT,25.42
107,12,1998,DANT,30.25
108,1,1999,DANT,24.7
109,2,1999,DANT,26.86
110,3,1999,DANT,25.97
111,4,1999,DANT,26.175
112,5,1999,DANT,30.78
113,6,1999,DANT,27.445
114,7,1999,DANT,23.415
115,8,1999,DANT,31.11
116,9,1999,DANT,31.525
117,10,1999,DANT,28.555
118,11,1999,DANT,30.7
119,12,1999,DANT,29.65
120,1,2000,DANT,23.21
121,2,2000,DANT,26.09
122,3,2000,DANT,25.52
123,4,2000,DANT,31.285000000000004
124,5,2000,DANT,27.695
125,6,2000,DANT,28.235
126,7,2000,DANT,31.185
127,8,2000,DANT,30.744999999999997
128,9,2000,DANT,30.29
129,10,2000,DANT,26.375
130,11,2000,DANT,24.26
131,12,2000,DANT,28.48
132,1,2001,DANT,29.5
133,2,2001,DANT,25.83
134,3,2001,DANT,29.42
135,4,2001,DANT,27.725
136,5,2001,DANT,28.916666666666668
137,6,2001,DANT,30.68
138,7,2001,DANT,28.259999999999998
139,8,2001,DANT,27.095
140,9,2001,DANT,31.505
141,10,2001,DANT,22.37
142,11,2001,DANT,30.02
143,12,2001,DANT,28.36
144,1,2002,DANT,29.97
