,X.1,X.2,Freq
1,DANT,1990,12
2,DREI,1990,13
3,G6,1990,12
4,GROO,1990,12
5,HAMM,1990,13
6,HANS,1990,13
7,HUIB,1990,12
8,LODS,1990,13
9,MARS,1990,12
10,N02,1990,12
11,N10,1990,47
12,N20,1990,12
13,N70,1990,12
14,R03,1990,0
15,R50,1990,0
16,R70,1990,0
17,SOEL,1990,13
18,T004,1990,12
19,T010,1990,12
20,T100,1990,12
21,T135,1990,12
22,T175,1990,12
23,T235,1990,12
24,VLIS,1990,14
25,W02,1990,12
26,W20,1990,12
27,W70,1990,12
28,WISS,1990,13
29,ZIJP,1990,13
30,ZUID,1990,11
31,DANT,1991,12
32,DREI,1991,13
33,G6,1991,16
34,GROO,1991,12
35,HAMM,1991,13
36,HANS,1991,16
37,HUIB,1991,11
38,LODS,1991,13
39,MARS,1991,12
40,N02,1991,17
41,N10,1991,45
42,N20,1991,12
43,N70,1991,11
44,R03,1991,5
45,R50,1991,5
46,R70,1991,5
47,SOEL,1991,13
48,T004,1991,14
49,T010,1991,10
50,T100,1991,10
51,T135,1991,10
52,T175,1991,10
53,T235,1991,10
54,VLIS,1991,18
55,W02,1991,17
56,W20,1991,12
57,W70,1991,12
58,WISS,1991,13
59,ZIJP,1991,13
60,ZUID,1991,12
61,DANT,1992,18
62,DREI,1992,13
63,G6,1992,20
64,GROO,1992,18
65,HAMM,1992,13
66,HANS,1992,13
67,HUIB,1992,18
68,LODS,1992,13
69,MARS,1992,18
70,N02,1992,20
71,N10,1992,40
72,N20,1992,11
73,N70,1992,11
74,R03,1992,7
75,R50,1992,7
76,R70,1992,7
77,SOEL,1992,13
78,T004,1992,20
79,T010,1992,11
80,T100,1992,10
81,T135,1992,10
82,T175,1992,10
83,T235,1992,10
84,VLIS,1992,21
85,W02,1992,20
86,W20,1992,11
87,W70,1992,11
88,WISS,1992,13
89,ZIJP,1992,13
90,ZUID,1992,18
91,DANT,1993,19
92,DREI,1993,13
93,G6,1993,17
94,GROO,1993,19
95,HAMM,1993,13
96,HANS,1993,13
97,HUIB,1993,19
98,LODS,1993,13
99,MARS,1993,18
100,N02,1993,17
101,N10,1993,46
102,N20,1993,11
103,N70,1993,11
104,R03,1993,7
105,R50,1993,7
106,R70,1993,7
107,SOEL,1993,12
108,T004,1993,16
109,T010,1993,10
110,T100,1993,10
111,T135,1993,10
112,T175,1993,10
113,T235,1993,10
114,VLIS,1993,24
115,W02,1993,17
116,W20,1993,11
117,W70,1993,11
118,WISS,1993,13
119,ZIJP,1993,13
120,ZUID,1993,19
121,DANT,1994,17
122,DREI,1994,19
123,G6,1994,21
124,GROO,1994,17
125,HAMM,1994,20
126,HANS,1994,21
127,HUIB,1994,17
128,LODS,1994,20
129,MARS,1994,16
130,N02,1994,27
131,N10,1994,53
132,N20,1994,18
133,N70,1994,18
134,R03,1994,13
135,R50,1994,10
136,R70,1994,10
137,SOEL,1994,20
138,T004,1994,26
139,T010,1994,18
140,T100,1994,18
141,T135,1994,18
142,T175,1994,18
143,T235,1994,18
144,VLIS,1994,35
145,W02,1994,21
146,W20,1994,12
147,W70,1994,12
148,WISS,1994,20
149,ZIJP,1994,20
150,ZUID,1994,17
151,DANT,1995,13
152,DREI,1995,21
153,G6,1995,24
154,GROO,1995,12
155,HAMM,1995,21
156,HANS,1995,24
157,HUIB,1995,12
158,LODS,1995,21
159,MARS,1995,12
160,N02,1995,29
161,N10,1995,56
162,N20,1995,18
163,N70,1995,18
164,R03,1995,17
165,R50,1995,7
166,R70,1995,7
167,SOEL,1995,22
168,T004,1995,27
169,T010,1995,18
170,T100,1995,18
171,T135,1995,18
172,T175,1995,18
173,T235,1995,18
174,VLIS,1995,36
175,W02,1995,23
176,W20,1995,12
177,W70,1995,12
178,WISS,1995,21
179,ZIJP,1995,21
180,ZUID,1995,14
181,DANT,1996,19
182,DREI,1996,20
183,G6,1996,23
184,GROO,1996,18
185,HAMM,1996,20
186,HANS,1996,19
187,HUIB,1996,19
188,LODS,1996,20
189,MARS,1996,19
190,N02,1996,31
191,N10,1996,43
192,N20,1996,18
193,N70,1996,18
194,R03,1996,17
195,R50,1996,7
196,R70,1996,7
197,SOEL,1996,20
198,T004,1996,27
199,T010,1996,18
200,T100,1996,18
201,T135,1996,18
202,T175,1996,18
203,T235,1996,18
204,VLIS,1996,22
205,W02,1996,23
206,W20,1996,12
207,W70,1996,12
208,WISS,1996,20
209,ZIJP,1996,20
210,ZUID,1996,19
211,DANT,1997,20
212,DREI,1997,20
213,G6,1997,28
214,GROO,1997,19
215,HAMM,1997,21
216,HANS,1997,19
217,HUIB,1997,19
218,LODS,1997,21
219,MARS,1997,19
220,N02,1997,40
221,N10,1997,52
222,N20,1997,18
223,N70,1997,18
224,R03,1997,23
225,R50,1997,7
226,R70,1997,7
227,SOEL,1997,21
228,T004,1997,33
229,T010,1997,18
230,T100,1997,18
231,T135,1997,18
232,T175,1997,18
233,T235,1997,18
234,VLIS,1997,23
235,W02,1997,28
236,W20,1997,12
237,W70,1997,12
238,WISS,1997,22
239,ZIJP,1997,23
240,ZUID,1997,21
241,DANT,1998,22
242,DREI,1998,21
243,G6,1998,23
244,GROO,1998,21
245,HAMM,1998,20
246,HANS,1998,18
247,HUIB,1998,21
248,LODS,1998,20
249,MARS,1998,22
250,N02,1998,37
251,N10,1998,45
252,N20,1998,18
253,N70,1998,18
254,R03,1998,20
255,R50,1998,7
256,R70,1998,7
257,SOEL,1998,20
258,T004,1998,28
259,T010,1998,18
260,T100,1998,18
261,T135,1998,18
262,T175,1998,18
263,T235,1998,18
264,VLIS,1998,22
265,W02,1998,23
266,W20,1998,12
267,W70,1998,12
268,WISS,1998,20
269,ZIJP,1998,20
270,ZUID,1998,21
271,DANT,1999,21
272,DREI,1999,20
273,G6,1999,21
274,GROO,1999,21
275,HAMM,1999,20
276,HANS,1999,18
277,HUIB,1999,21
278,LODS,1999,20
279,MARS,1999,21
280,N02,1999,29
281,N10,1999,43
282,N20,1999,18
283,N70,1999,19
284,R03,1999,9
285,R50,1999,7
286,R70,1999,7
287,SOEL,1999,20
288,T004,1999,20
289,T010,1999,18
290,T100,1999,18
291,T135,1999,18
292,T175,1999,18
293,T235,1999,18
294,VLIS,1999,22
295,W02,1999,16
296,W20,1999,13
297,W70,1999,12
298,WISS,1999,20
299,ZIJP,1999,20
300,ZUID,1999,22
301,DANT,2000,22
302,DREI,2000,20
303,G6,2000,13
304,GROO,2000,21
305,HAMM,2000,21
306,HANS,2000,29
307,HUIB,2000,21
308,LODS,2000,20
309,MARS,2000,21
310,N02,2000,24
311,N10,2000,36
312,N20,2000,19
313,N70,2000,18
314,R03,2000,8
315,R50,2000,7
316,R70,2000,7
317,SOEL,2000,20
318,T004,2000,19
319,T010,2000,18
320,T100,2000,18
321,T135,2000,17
322,T175,2000,18
323,T235,2000,18
324,VLIS,2000,30
325,W02,2000,12
326,W20,2000,12
327,W70,2000,12
328,WISS,2000,21
329,ZIJP,2000,20
330,ZUID,2000,21
331,DANT,2001,21
332,DREI,2001,20
333,G6,2001,12
334,GROO,2001,21
335,HAMM,2001,20
336,HANS,2001,29
337,HUIB,2001,22
338,LODS,2001,20
339,MARS,2001,21
340,N02,2001,27
341,N10,2001,37
342,N20,2001,19
343,N70,2001,20
344,R03,2001,7
345,R50,2001,7
346,R70,2001,7
347,SOEL,2001,20
348,T004,2001,19
349,T010,2001,18
350,T100,2001,18
351,T135,2001,19
352,T175,2001,18
353,T235,2001,18
354,VLIS,2001,31
355,W02,2001,12
356,W20,2001,12
357,W70,2001,12
358,WISS,2001,20
359,ZIJP,2001,20
360,ZUID,2001,21
361,DANT,2002,21
362,DREI,2002,20
363,G6,2002,12
364,GROO,2002,21
365,HAMM,2002,20
366,HANS,2002,20
367,HUIB,2002,21
368,LODS,2002,20
369,MARS,2002,21
370,N02,2002,23
371,N10,2002,30
372,N20,2002,19
373,N70,2002,20
374,R03,2002,7
375,R50,2002,7
376,R70,2002,7
377,SOEL,2002,20
378,T004,2002,19
379,T010,2002,18
380,T100,2002,18
381,T135,2002,18
382,T175,2002,18
383,T235,2002,18
384,VLIS,2002,30
385,W02,2002,12
386,W20,2002,12
387,W70,2002,12
388,WISS,2002,20
389,ZIJP,2002,20
390,ZUID,2002,21
391,DANT,2003,21
392,DREI,2003,20
393,G6,2003,12
394,GROO,2003,21
395,HAMM,2003,20
396,HANS,2003,19
397,HUIB,2003,21
398,LODS,2003,20
399,MARS,2003,21
400,N02,2003,23
401,N10,2003,31
402,N20,2003,19
403,N70,2003,19
404,R03,2003,7
405,R50,2003,7
406,R70,2003,7
407,SOEL,2003,20
408,T004,2003,20
409,T010,2003,19
410,T100,2003,18
411,T135,2003,19
412,T175,2003,18
413,T235,2003,18
414,VLIS,2003,32
415,W02,2003,12
416,W20,2003,12
417,W70,2003,12
418,WISS,2003,20
419,ZIJP,2003,20
420,ZUID,2003,22
421,DANT,2004,21
422,DREI,2004,20
423,G6,2004,12
424,GROO,2004,21
425,HAMM,2004,20
426,HANS,2004,19
427,HUIB,2004,21
428,LODS,2004,20
429,MARS,2004,21
430,N02,2004,22
431,N10,2004,29
432,N20,2004,17
433,N70,2004,18
434,R03,2004,7
435,R50,2004,7
436,R70,2004,7
437,SOEL,2004,20
438,T004,2004,19
439,T010,2004,18
440,T100,2004,18
441,T135,2004,18
442,T175,2004,18
443,T235,2004,18
444,VLIS,2004,31
445,W02,2004,12
446,W20,2004,12
447,W70,2004,12
448,WISS,2004,20
449,ZIJP,2004,20
450,ZUID,2004,22
451,DANT,2005,21
452,DREI,2005,20
453,G6,2005,12
454,GROO,2005,22
455,HAMM,2005,20
456,HANS,2005,19
457,HUIB,2005,21
458,LODS,2005,20
459,MARS,2005,22
460,N02,2005,24
461,N10,2005,32
462,N20,2005,19
463,N70,2005,19
464,R03,2005,7
465,R50,2005,7
466,R70,2005,7
467,SOEL,2005,21
468,T004,2005,20
469,T010,2005,19
470,T100,2005,18
471,T135,2005,18
472,T175,2005,18
473,T235,2005,18
474,VLIS,2005,30
475,W02,2005,12
476,W20,2005,12
477,W70,2005,12
478,WISS,2005,20
479,ZIJP,2005,20
480,ZUID,2005,22
